City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Kemi,FI,2022-07-13 15:29:54,65.8596,24.8228,67.77,73,100,3.44,light intensity shower rain
99,Kapaa,US,2022-07-13 15:25:29,22.0752,-159.319,77.32,88,100,20.71,light rain
100,At-Bashi,KG,2022-07-13 15:29:55,41.1702,75.8106,57.06,60,92,4.0,overcast clouds
101,Kuryk,KZ,2022-07-13 15:29:55,43.2,51.65,96.44,20,4,8.03,clear sky
102,Vaini,TO,2022-07-13 15:29:55,-21.2,-175.2,75.36,94,75,10.36,broken clouds
103,Pilar,BR,2022-07-13 15:29:56,-9.5972,-35.9567,78.73,82,96,11.81,overcast clouds
104,Gerash,IR,2022-07-13 15:29:56,27.6652,54.1371,102.34,7,19,11.92,few clouds
105,San Quintin,MX,2022-07-13 15:29:56,30.4833,-115.95,66.25,80,100,10.04,overcast clouds
106,Brigantine,US,2022-07-13 15:29:57,39.4101,-74.3646,90.19,65,0,0.0,clear sky
107,Richards Bay,ZA,2022-07-13 15:29:57,-28.783,32.0377,69.31,70,0,4.99,clear sky
108,Adrar,MR,2022-07-13 15:29:57,20.5022,-10.0711,107.15,11,8,3.91,clear sky
109,Kendari,ID,2022-07-13 15:29:58,-3.945,122.4989,75.34,83,41,4.76,scattered clouds
110,Ponta Do Sol,PT,2022-07-13 15:29:58,32.6667,-17.1,77.0,66,1,6.24,clear sky
111,Saskylakh,RU,2022-07-13 15:29:58,71.9167,114.0833,46.26,62,100,11.45,overcast clouds
112,Athens,GR,2022-07-13 15:25:38,37.9795,23.7162,86.13,37,20,10.36,few clouds
113,Thompson,CA,2022-07-13 15:29:49,55.7435,-97.8558,71.76,56,40,6.91,scattered clouds
114,Ilulissat,GL,2022-07-13 15:29:59,69.2167,-51.1,44.62,81,75,5.75,broken clouds
115,Sao Filipe,CV,2022-07-13 15:29:59,14.8961,-24.4956,76.37,79,75,9.37,broken clouds
116,Mendi,PG,2022-07-13 15:29:59,-6.1761,143.6513,56.66,99,99,1.23,overcast clouds
117,Bonavista,CA,2022-07-13 15:30:00,48.6499,-53.1147,61.47,83,100,16.13,overcast clouds
118,Chokurdakh,RU,2022-07-13 15:30:00,70.6333,147.9167,38.23,92,100,11.81,overcast clouds
119,Victoria,HK,2022-07-13 15:26:05,22.2855,114.1577,89.19,78,0,5.99,clear sky
120,Dikson,RU,2022-07-13 15:30:00,73.5069,80.5464,40.87,81,4,14.03,clear sky
121,Atyrau,KZ,2022-07-13 15:30:01,47.1167,51.8833,98.62,19,0,11.18,clear sky
122,Butaritari,KI,2022-07-13 15:30:01,3.0707,172.7902,82.09,79,86,17.52,light rain
123,Imeni Poliny Osipenko,RU,2022-07-13 15:30:02,52.4201,136.4853,62.24,98,44,7.4,light rain
124,Kathu,TH,2022-07-13 15:30:02,7.9178,98.3332,83.7,99,100,15.01,overcast clouds
125,Macon,US,2022-07-13 15:29:10,39.8667,-88.9668,82.45,54,0,11.5,clear sky
126,Tiksi,RU,2022-07-13 15:29:07,71.6872,128.8694,34.66,96,100,5.12,overcast clouds
