City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Kemijarvi,FI,65.43,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
187,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
188,Ugoofaaru,MV,82.78,scattered clouds,5.6667,73.0,Ungoofaaru Inn
190,Kelo,TD,74.8,overcast clouds,9.3086,15.8066,Plantation de Kelo
191,Gafargaon,BD,83.8,moderate rain,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
193,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
194,Walla Walla,US,78.67,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
196,Vao,NC,71.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
197,Palmer,US,82.65,clear sky,42.1584,-72.3287,Wedgewood Motel
198,Ithaca,US,79.03,broken clouds,42.4406,-76.4966,Meadow Court Inn
199,Tete,MZ,78.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
200,Arcelia,MX,78.85,overcast clouds,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
202,Lloydminster,CA,70.02,few clouds,53.2835,-110.0016,BCMInns - Lloydminster
203,Galle,LK,79.61,scattered clouds,6.0367,80.217,Amangalla
205,Guerrero Negro,MX,69.76,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
206,Dingle,PH,76.77,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
207,Poum,NC,75.78,overcast clouds,-20.2333,164.0167,
209,Aloleng,PH,80.65,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
211,Kars,TR,75.65,clear sky,40.602,43.095,Kars Otel
214,Byumba,RW,66.4,overcast clouds,-1.5763,30.0675,RGC206 [AIRTEL]
218,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
219,Winnemucca,US,80.65,clear sky,40.973,-117.7357,Winners Inn Casino
221,Salinopolis,BR,83.61,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
222,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
225,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
226,Greece,US,76.68,broken clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
233,Shingu,JP,77.02,overcast clouds,33.7333,135.9833,Shingu UI Hotel
234,Payakumbuh,ID,72.16,overcast clouds,-0.2202,100.6308,Dalimo Homestay
235,Voyvozh,RU,76.21,broken clouds,62.892,54.9635,Gostinitsa Yakor'
236,Belmonte,BR,78.87,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
237,Sarai,RU,73.09,few clouds,53.7458,41.0213,Gostinitsa Verda.
238,Butzow,DE,84.65,broken clouds,53.85,11.9833,Hotel Bützower Hof
241,Padang,ID,79.16,overcast clouds,-0.9492,100.3543,Mercure Padang
243,Tieli,CN,67.78,overcast clouds,46.95,128.05,Dynasty Hotel
244,Bandarbeyla,SO,78.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
245,Preobrazheniye,RU,65.25,overcast clouds,42.9019,133.9064,Campsite Orlan
246,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
247,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
254,Taitung,TW,82.38,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
255,Bengkulu,ID,77.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
258,Kirakira,SB,76.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
259,Simao,CN,69.24,broken clouds,22.7886,100.9748,Changyu Hotel
262,Kautokeino,NO,68.83,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
263,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
264,Mahon,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
266,Payo,ID,73.8,overcast clouds,-3.7508,103.6372,Mess keban agung
270,Talas,TR,81.27,few clouds,38.6908,35.5538,Fimaj Residence
271,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
272,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
273,Kamenka,RU,70.18,light rain,51.3223,42.7678,
274,Hami,CN,83.48,broken clouds,42.8,93.45,Laoyutang Resort
275,Sudogda,RU,69.28,broken clouds,55.9539,40.8629,Барский луг
277,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
278,Laibin,CN,81.14,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
279,Carnarvon,AU,69.06,clear sky,-24.8667,113.6333,Hospitality Carnarvon
280,Thinadhoo,MV,84.06,broken clouds,0.5333,72.9333,
283,Iralaya,HN,82.13,overcast clouds,15.0,-83.2333,Iglesia morava renovada
285,Mayor Pablo Lagerenza,PY,82.83,overcast clouds,-19.9309,-60.7718,
286,Arak,IR,84.94,clear sky,34.0917,49.6892,Zagros Hotel
289,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
290,Callaway,US,81.99,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
291,Talara,PE,68.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
293,Ryde,GB,81.41,overcast clouds,50.73,-1.1621,Dorset Hotel
295,San Nicolas,PH,76.91,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
297,Nicoya,CR,82.08,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
